param order1 order2 order3
9.999999999999999988e-15 2.169696400183242484e-03 5.608308119791001364e-05 6.748212763999106723e-05
1.000000000000000030e-13 2.169696301359599639e-03 5.608242341751277170e-05 5.524865045579286228e-05
9.999999999999999799e-13 2.169695810875578185e-03 5.609028602529290085e-05 5.275493471914224626e-05
9.999999999999999395e-12 2.169695904918725153e-03 5.608883637804569440e-05 5.731304575891062240e-05
1.000000000000000036e-10 2.169696364891822091e-03 5.609647407911294798e-05 5.676164040883845471e-05
1.000000000000000062e-09 2.169695654594833330e-03 5.608537111292931658e-05 6.352793425158369148e-05
1.000000000000000021e-08 2.169693618034523614e-03 5.613521126080927876e-05 4.781733212828117604e-05
9.999999999999999547e-08 2.169673233020367326e-03 5.614762937898907331e-05 6.075741270155492495e-05
9.999999999999999547e-07 2.169472150174718995e-03 5.604351244840009171e-05 3.054327326050985735e-05
1.000000000000000082e-05 2.167466182506907427e-03 5.576580320233633916e-05 3.518372466121577776e-05
1.000000000000000048e-04 2.148068847991235764e-03 5.321686724472967029e-05 2.622966588128952263e-05
1.000000000000000021e-03 2.012854805540891488e-03 5.388424179815174688e-05 5.280920167211451645e-05
1.000000000000000021e-02 2.496577976550532971e-03 4.505454256051498680e-04 1.800743765943661897e-04
1.000000000000000056e-01 4.529158338797273364e-03 1.903312882919064135e-03 8.167711921581872472e-04
1.000000000000000000e+00 6.756826561283299851e-03 3.514110783136538234e-03 1.684845988531703679e-03
1.000000000000000000e+01 9.578242637307349955e-03 4.882679847007049580e-03 2.386924823870537667e-03
1.000000000000000000e+02 1.120104799097542021e-02 5.358353376590946522e-03 2.627390161695659313e-03
1.000000000000000000e+03 2.050810957698589662e-02 6.084758608125633191e-03 3.029152968942051393e-03
1.000000000000000000e+04 6.719694702179826451e-02 8.188901112364289914e-03 4.370948378581994247e-03
1.000000000000000000e+05 1.098592099492040758e-01 1.001948367631657830e-02 5.384223721763085543e-03
1.000000000000000000e+06 1.194426348146923750e-01 1.237510552182837127e-02 5.974157493581263439e-03
