param order1 order2 order3
9.999999999999999988e-15 1.763133742057321901e-03 3.114020158902204918e-02 5.020405765605282650e-02
1.000000000000000030e-13 1.763133722525830243e-03 3.114020463591693488e-02 5.020412961607065294e-02
9.999999999999999799e-13 1.763133653592721239e-03 3.114020035741373732e-02 5.020414943833167998e-02
9.999999999999999395e-12 1.763133660379471437e-03 3.114019036068673557e-02 5.020407884334097265e-02
1.000000000000000036e-10 1.763133713599241825e-03 3.114011193320842877e-02 5.020320711815173115e-02
1.000000000000000062e-09 1.763133551641411214e-03 3.113930537656383127e-02 5.019484677273394063e-02
1.000000000000000021e-08 1.763132477997613433e-03 3.113125002653677198e-02 5.011038607675149387e-02
9.999999999999999547e-08 1.763121463665161259e-03 3.105123524933357110e-02 4.932253323968107533e-02
9.999999999999999547e-07 1.763012242449394978e-03 3.030233432894221049e-02 4.259079395920744443e-02
1.000000000000000082e-05 1.761926866421423135e-03 2.575241730205797205e-02 2.121394871893501552e-02
1.000000000000000048e-04 1.751755780497946027e-03 1.697847435624408666e-02 8.400432378694252383e-03
1.000000000000000021e-03 1.708339104432401870e-03 8.880906611187001226e-03 5.671703322627312180e-03
1.000000000000000021e-02 2.568308379497781339e-03 5.675229355194559046e-03 5.215570595519005738e-03
1.000000000000000056e-01 4.610759336356880581e-03 5.492665788139393032e-03 5.422881738550832526e-03
1.000000000000000000e+00 6.788283559497727652e-03 7.042682870157032128e-03 7.020932367153879909e-03
1.000000000000000000e+01 9.687471019329716229e-03 9.784619505226894651e-03 9.779309189885379908e-03
1.000000000000000000e+02 1.141520513737488349e-02 1.140310149453926426e-02 1.139557102130713331e-02
1.000000000000000000e+03 2.089087513830930817e-02 2.035777822573814691e-02 2.025778622481403182e-02
1.000000000000000000e+04 6.752976813592549699e-02 6.673455315066459392e-02 6.658073694142319088e-02
1.000000000000000000e+05 1.099797755854933085e-01 1.097570584243162811e-01 1.097456067918104322e-01
1.000000000000000000e+06 1.194798885570366037e-01 1.194411323568890654e-01 1.194820713381782862e-01
