param order1 order2 order3
9.999999999999999988e-15 7.787570219158516105e-01 4.447718399710145348e-02 3.862085993296335718e-03
1.000000000000000030e-13 7.528625548999369199e-01 7.662448108270600473e-03 1.532029423161820544e-03
9.999999999999999799e-13 5.648543865864481539e-01 3.414375971473019959e-03 4.699605772605086607e-04
9.999999999999999395e-12 1.604790497467899479e-01 1.399473809460225230e-03 2.595957938666699355e-04
1.000000000000000036e-10 1.933752259248597977e-02 3.117081527952550229e-04 1.424542916686109774e-04
1.000000000000000062e-09 5.463455905954707828e-03 1.333205886665532513e-04 9.131369785463490331e-05
1.000000000000000021e-08 4.022158995023009803e-03 7.387277616495149725e-05 6.512410736443561513e-05
9.999999999999999547e-08 1.528710276195879500e-03 4.979368246486366332e-05 5.893366682478541841e-05
9.999999999999999547e-07 7.592442048368231323e-04 4.668892948572515384e-05 5.159725464211712624e-05
1.000000000000000082e-05 6.744572243125221672e-04 4.657753403446857483e-05 5.431601691864739774e-05
1.000000000000000048e-04 6.659366474754644131e-04 4.675232306850921656e-05 4.599710312625512816e-05
1.000000000000000021e-03 6.635934533071309550e-04 4.661404181572777173e-05 4.987877680653985475e-05
1.000000000000000021e-02 6.670700630113463253e-04 4.635196996242455186e-05 5.383743060119843536e-05
1.000000000000000056e-01 1.191363715215413123e-03 4.648755967668945102e-05 5.565693847830273708e-05
1.000000000000000000e+00 2.053384551781672982e-03 5.349413019855522465e-05 5.292133930028705523e-05
1.000000000000000000e+01 1.406876925894877959e-03 7.675716676336545650e-05 8.743558791042123856e-05
1.000000000000000000e+02 8.355921349761883396e-04 8.815081655835240284e-05 4.031134985307026418e-04
1.000000000000000000e+03 4.884879221956818117e-04 8.955506962135153625e-05 2.818526391245641371e-03
1.000000000000000000e+04 4.289811005126770030e-04 1.273043072194780334e-04 4.518889971172997122e-02
1.000000000000000000e+05 4.166477429707398598e-04 1.459768471986200734e-03 4.371458232562439594e-01
1.000000000000000000e+06 4.215699637884435863e-04 1.654863602278335358e-02 2.277876592391188559e+00
1.000000000000000000e+07 4.205733832700647603e-04 1.238547083665537951e-01 3.382621391319722079e+03
1.000000000000000000e+08 4.132264776027990967e-04 9.296393191878111750e-01 1.014279991920716668e+02
1.000000000000000000e+09 4.126796069844236581e-04 1.772844718027591426e+01 5.295540575600925877e+02
1.000000000000000000e+10 4.325750663423941818e-04 1.335071878089039217e+02 6.913446927650680891e+02
1.000000000000000000e+11 1.441413088675408231e-02 1.063504917877835823e+02 2.735279837294438494e+03
1.000000000000000000e+12 4.465634161509896005e-02 1.915312722847557154e+02 9.037487795038692639e+03
1.000000000000000000e+13 1.631351332313806246e-01 5.754302142907066582e+02 2.832644108515683183e+04
