param order1 order2 order3
9.999999999999999988e-15 6.777156310449059581e-04 4.622317750883539049e-05 5.725392368755400448e-05
1.000000000000000030e-13 6.777157135473025826e-04 4.621714287963349366e-05 5.054339798247253947e-05
9.999999999999999799e-13 6.777156737249505694e-04 4.623197009045333905e-05 5.971469894072473935e-05
9.999999999999999395e-12 6.777155717795716730e-04 4.623143397349167589e-05 5.731206858685720484e-05
1.000000000000000036e-10 6.777152748362596114e-04 4.622684795695056751e-05 5.992183196890708781e-05
1.000000000000000062e-09 6.777121024166165479e-04 4.621788741390483963e-05 5.509952586703264024e-05
1.000000000000000021e-08 6.776798579132031937e-04 4.622658257035001413e-05 5.513706507047314996e-05
9.999999999999999547e-08 6.773669527993714029e-04 4.623603174195099589e-05 5.553404518163577026e-05
9.999999999999999547e-07 6.750091332849624546e-04 4.622729091948185349e-05 5.155914188236180164e-05
1.000000000000000082e-05 6.692315335948198626e-04 4.631164626526045432e-05 6.400056727790888911e-05
1.000000000000000048e-04 6.660164749188163648e-04 4.662302384993818243e-05 5.224242738103287916e-05
1.000000000000000021e-03 6.634767867100356325e-04 4.675561338427752897e-05 5.812035994262046076e-05
1.000000000000000021e-02 6.637248813048054769e-04 4.650321806594419306e-05 5.883259378551354465e-05
1.000000000000000056e-01 1.142841664670232607e-03 4.692508572492533624e-05 6.465549964117905371e-05
1.000000000000000000e+00 2.012854842536008961e-03 5.387280561258421969e-05 5.910863293807196649e-05
1.000000000000000000e+01 1.399954463791464564e-03 7.670369616914991600e-05 7.994659021908885014e-05
1.000000000000000000e+02 8.359015624219069034e-04 8.872020714649330863e-05 5.038963171773049162e-04
1.000000000000000000e+03 4.885536084213517889e-04 1.006900565070451909e-04 7.454410209803719392e-03
1.000000000000000000e+04 4.289773649037857185e-04 9.722996128264454964e-05 3.372042916618480518e-02
1.000000000000000000e+05 4.166376590892102130e-04 1.055395669891478431e-03 6.561294148988604524e-01
1.000000000000000000e+06 4.215137263764310509e-04 2.604718615963000014e-02 5.212499410114464382e+00
1.000000000000000000e+07 4.205683046961033794e-04 1.925668234197423223e-01 4.710079200490073248e+01
1.000000000000000000e+08 4.125566380835910766e-04 1.109661508661592411e+00 7.916472529752674063e+02
1.000000000000000000e+09 4.228855052429556145e-04 1.100145292223912818e+01 6.392543157567998833e+02
1.000000000000000000e+10 5.066944664261770030e-04 7.884677941843875715e+02 2.076558849797887433e+03
1.000000000000000000e+11 1.411558413021640583e-02 1.309896956810695485e+02 3.444590521740105487e+03
1.000000000000000000e+12 4.354340960940018823e-02 2.764726030576186417e+02 8.176168572579885222e+03
1.000000000000000000e+13 1.304802796603273807e-01 4.709964818316524884e+02 2.235512613776932994e+03
